Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Store.2,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Week of Year,PromotionActive,RandSample
153,4,2013-10-17,5303,551,1,0,0,0,153,a,a,16240,10,2000,1,18,2011,"Feb,May,Aug,Nov",2013,10,42,"""Yes""",0.505413287
938,2,2013-08-06,8700,979,1,0,0,1,938,a,a,2820,9,2009,0,,,,2013,8,32,"""No""",0.652897873
376,2,2013-02-19,9166,1012,1,1,0,0,376,a,a,160,8,2012,0,,,,2013,2,8,"""Yes""",0.798739962
614,2,2013-01-08,7058,856,1,1,0,0,614,a,a,1160,12,2012,0,,,,2013,1,2,"""Yes""",0.036645404
1011,6,2013-03-09,7440,969,1,0,0,0,1011,a,c,490,9,2012,1,18,2011,"Feb,May,Aug,Nov",2013,3,10,"""Yes""",0.877947753
574,5,2013-12-27,9632,747,1,0,0,1,574,d,a,4400,,,0,,,,2013,12,52,"""No""",0.165882033
15,6,2013-05-04,5450,623,1,0,0,0,15,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",2013,5,18,"""Yes""",0.121657447
102,1,2013-12-02,12918,1619,1,1,0,0,102,a,a,4110,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",2013,12,49,"""Yes""",0.099325866
1109,2,2013-11-12,3693,400,1,0,0,0,1109,c,a,3490,4,2011,1,22,2012,"Jan,Apr,Jul,Oct",2013,11,46,"""Yes""",0.874637488
853,1,2013-07-22,7903,971,1,0,0,0,853,a,a,14040,,,0,,,,2013,7,30,"""No""",0.649665533
1101,3,2013-06-12,7557,827,1,0,0,0,1101,d,c,4060,9,2012,0,,,,2013,6,24,"""No""",0.650704611
55,3,2013-06-26,3126,416,1,0,0,0,55,a,a,720,11,2004,0,,,,2013,6,26,"""No""",0.308510745
48,1,2013-06-10,4314,505,1,0,0,0,48,a,a,1060,5,2012,0,,,,2013,6,24,"""No""",0.946638764
853,1,2013-03-25,12355,1149,1,1,0,1,853,a,a,14040,,,0,,,,2013,3,13,"""Yes""",0.817061082
102,5,2013-01-18,5084,867,1,0,0,0,102,a,a,150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",2013,1,3,"""Yes""",0.215687022
922,3,2013-12-18,10639,884,1,1,0,0,922,d,a,2110,3,2006,0,,,,2013,12,51,"""Yes""",0.130331668
850,4,2013-01-17,4244,533,1,0,0,0,850,d,a,1120,5,2007,1,31,2013,"Jan,Apr,Jul,Oct",2013,1,3,"""Yes""",0.899464419
234,4,2013-03-21,11630,1120,1,1,0,0,234,d,a,4370,,,0,,,,2013,3,12,"""Yes""",0.954694077
342,6,2013-05-11,13667,1013,1,0,0,0,342,d,c,15770,,,1,40,2014,"Jan,Apr,Jul,Oct",2013,5,19,"""Yes""",0.056700844
821,2,2013-02-12,5954,822,1,0,0,0,821,a,a,1700,9,2009,0,,,,2013,2,7,"""No""",0.230160032
1049,3,2013-11-06,3816,623,1,1,0,0,1049,a,a,370,7,2012,1,14,2011,"Jan,Apr,Jul,Oct",2013,11,45,"""Yes""",0.813700552
