Store,Total_Sales,Total_Customers
262,19516842,3204694
817,17057867,2454370
562,16927322,2924960
1114,16202585,2509542
251,14896870,1908934
513,14252406,1643527
788,14082141,1346835
733,14067158,3206058
383,13489879,1720249
756,12911782,1827980
335,12541731,2246936
698,12202270,1518304
523,12175995,1397803
595,11774982,1382516
586,11742401,1832458
320,11630218,1617489
842,11553523,714829
380,11261676,1075375
544,10993709,1439156
1033,10870270,1018597
259,10851871,2210980
336,10850316,1529043
546,10726323,1271083
682,10557379,1656830
467,10501035,1257034
423,10200356,1776735
769,10198000,2902351
211,10187567,1164871
768,10185601,1054827
470,10174712,1377377
560,10168806,1225287
84,10092722,1084610
827,10000214,1302475
831,9884733,1228453
261,9828244,739220
1014,9509102,1051375
444,9470625,1105765
469,9330742,1192174
125,9280089,1233970
1018,9187204,1063112
1097,9179413,2280508
390,9023552,832564
1075,9004545,856724
640,8984969,685137
449,8789176,1198781
479,8782548,1039144
207,8768418,1019499
416,8633413,1096337
1066,8626583,877097
234,8625334,798258
726,8617965,830336
432,8610571,1218907
906,8535775,992530
532,8487100,996269
963,8385406,791630
527,8383796,781383
502,8377408,1176212
25,8376557,1177772
713,8349365,1023424
195,8345567,1011485
464,8343864,1023585
528,8338762,744295
645,8337410,1031306
526,8312841,1139140
697,8301159,782616
545,8284865,799891
252,8269484,630702
729,8217604,843139
755,8187392,699323
1027,8163847,1032892
57,8155633,761161
704,8138397,843720
389,8104523,992082
64,8070070,617633
358,8028461,874499
525,8012460,685569
580,7994967,1256554
388,7990920,854131
787,7977175,890735
1112,7974294,653276
396,7973232,840769
983,7941077,1068066
104,7939205,1028904
42,7928768,856938
1089,7915233,781006
178,7870142,720381
1101,7818257,774945
679,7796037,832152
709,7751342,1017426
911,7749768,712986
722,7711931,1241124
799,7708195,700034
316,7677532,702532
807,7669453,767032
333,7662181,993414
599,7659466,686442
256,7630314,967823
615,7585401,968524
157,7574054,771078
35,7558693,568401
4,7556507,1036254
964,7534699,1077174
368,7526231,553908
820,7517399,677726
421,7517189,795282
